pincode,stores_serving,total_orders,avg_orders_per_store,competing_stores,total_cancellations,cancel_rate_pct,cannibalization_signal
560004,8,1387,173,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",80,5.8,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560041,8,1416,177,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",79,5.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560003,8,1413,177,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",106,7.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560040,8,1425,178,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",85,6.0,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560038,8,1443,180,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",68,4.7,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560001,8,1437,180,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",79,5.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400003,8,1450,181,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",96,6.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560034,8,1446,181,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",80,5.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400051,8,1453,182,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",92,6.3,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400004,8,1463,183,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",92,6.3,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400050,8,1470,184,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",83,5.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400053,8,1478,185,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",77,5.2,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560002,8,1476,185,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",83,5.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400052,8,1506,188,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",81,5.4,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600008,8,1516,190,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",96,6.3,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400001,8,1518,190,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",89,5.9,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400002,8,1518,190,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",88,5.8,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600004,8,1541,193,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",90,5.8,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600001,8,1554,194,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",111,7.1,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600005,8,1578,197,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",95,6.0,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600007,8,1591,199,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",107,6.7,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600002,8,1605,201,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",114,7.1,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600006,8,1627,203,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",95,5.8,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
600003,8,1636,205,"Chennai Store 1 | Chennai Store 2 | Chennai Store 3 | Chennai Store 4 | Chennai Store 5 | Chennai Store 6 | Chennai Store 7 | Chennai Store 8",96,5.9,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
500034,6,1073,179,"Hyderabad Store 1 | Hyderabad Store 2 | Hyderabad Store 3 | Hyderabad Store 4 | Hyderabad Store 5 | Hyderabad Store 6",75,7.0,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
